State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,01-08-2024,"? 6,500","? 7,500","? 7,000",312
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,02-08-2024,"? 6,500","? 8,000","? 7,000",312
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,06-08-2024,"? 6,000","? 8,000","? 6,750",312
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,03-08-2024,"? 1,500","? 5,000","? 4,250",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,07-08-2024,"? 4,000","? 7,000","? 6,000",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,12-08-2024,"? 2,500","? 6,000","? 4,750",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,16-08-2024,"? 3,000","? 6,000","? 5,250",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,22-08-2024,"? 5,000","? 8,500","? 7,250",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,30-08-2024,"? 5,000","? 10,000","? 8,250",310
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,09-08-2024,"? 3,500","? 8,000","? 6,000",312
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,27-08-2024,"? 3,000","? 4,500","? 3,800",312
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,30-08-2024,"? 5,000","? 6,000","? 5,500",312
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,05-07-2024,"? 1,500","? 3,500","? 3,350",34
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,06-07-2024,"? 1,000","? 3,500","? 2,900",34
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,09-07-2024,"? 1,200","? 3,000","? 2,650",34
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,19-07-2024,"? 1,000","? 2,500","? 2,100",34
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,20-07-2024,"? 1,000","? 2,500","? 2,100",34
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,24-07-2024,? 800,"? 2,300","? 1,950",34
Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,FAQ,16-07-2024,"? 1,000","? 2,500","? 1,950",35
Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,FAQ,22-07-2024,? 500,"? 2,000","? 1,650",35
Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,FAQ,27-07-2024,? 500,"? 2,000","? 1,350",35
