Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
1200,1210.699279333131,1219.4939927762293,1127.6423,1454.2603,1201.5228945764065,1195.3458350905328
6500,6084.536736108561,5929.591057614669,5998.8496,5642.221,5814.490409954676,5904.782036031535
500,679.178586558121,574.2488095238094,726.2671,928.1588,593.0310342048288,642.6019010013375
7000,6569.118600588581,6999.172561278957,6975.053,6035.0073,6868.860434063218,6801.597226804672
6925,6494.548764335113,6245.988203671816,6197.891,5963.7534,6257.208990138197,6300.520539411295
4000,3742.8607685587267,3922.730321900321,4021.4038,3663.8584,3868.9424891047506,3881.8077924496915
1000,1353.0925863355073,1039.2892857142858,1671.1704,1578.6227,1177.2836455360216,1331.87131486373
500,712.4858023087531,577.0653069153071,553.24646,1209.7439,601.6721543228389,615.1740726267118
5000,4623.273491054685,4951.155447315324,5061.438,4420.609,4859.365302689607,4876.686147570114
2000,2105.428359730306,1916.9304390866764,2046.3224,2118.7817,1939.350974415025,2012.4511796228528
4025,3948.037366583154,4266.142839635855,3868.0798,3771.573,3965.3732612776844,3909.8584962928926
3000,3201.530049779336,2984.5540413533827,3367.3665,3007.6577,3034.065889361358,3105.4861187261326
800,1165.676525552114,952.1735958485957,966.26227,1431.1602,1001.0115477143052,1028.860892816206
8150,7515.425052591418,8158.47863029461,7828.857,6957.636,7971.042640565818,7814.258263045678
1300,1459.3064843999732,1096.016341991342,1169.4948,1648.9878,1158.5832470624416,1216.2320302320895
6000,6150.639269619853,6183.32173040079,5695.1655,5683.502,6058.89579438706,5992.115981491045
12500,27576.742449493977,28883.720595238094,23871.555,25117.584,27645.064548547056,26470.970584533487
4250,4923.75309842529,4139.876187008002,4703.219,4691.779,4352.273477827606,4589.969241447431
800,625.3368236054775,758.8496042089463,726.47815,582.6848,712.7199659302703,705.8587992933104
1200,1153.2441835184195,1195.4461162580044,1050.3956,1407.9921,1163.6511054066011,1138.9607148448295
6625,6206.677764626079,6216.7240139177,6283.895,5713.7764,6120.633232074315,6185.683975270946
1000,1483.422509964043,756.9107142857142,1082.6301,1655.1687,966.4283677219424,1122.6880914675442
13000,12461.183760480539,12194.387483766233,13255.831,10874.186,13284.73752260593,13175.741949636344
400,482.16689415329574,416.75865800865796,397.8911,1011.9865,413.2883372662545,430.2114708518264
1500,1428.8964657065367,1469.6443605307736,1419.3933,1613.4685,1417.862057476904,1449.565172058966
9350,13652.164020371732,12250.206428571431,14101.59,12438.018,13116.77559787434,13541.22557016764
20625,19204.79634008959,16829.65121031746,19727.69,17109.406,18246.49165249869,18900.08158937091
7000,6481.891125323273,6815.8034928049965,6604.027,6032.283,6580.985518796978,6559.22897655611
600,647.7412747489893,611.1467893217894,919.48645,945.42596,676.9402491675932,731.8387723384468
2500,3158.6569086705567,2753.120909263151,2780.697,3009.3457,2906.692142023868,2929.327787009022
4000,3944.7336395942234,3767.857892107892,3626.9502,3688.8364,3784.6051345605147,3778.5758312052276
800,1149.163106141385,1322.1306304806305,1046.6545,1462.8097,1159.345041968993,1119.0633130968909
