Feature,method,lambda,original_skew,new_skew,skew_improvement,original_kurt,new_kurt,kurt_improvement,applied,reason,shift
BB_Lower,yeo-johnson,0.89686449908824,2.42191689569995,1.484355700695317,0.9375611950046332,8.591740580528626,9.205837534699832,-0.614096954171206,True,,
Min_Price,log,,2.3926784931957634,-0.09787705162249104,2.2948014415732723,8.371270951162094,-0.35096458887215043,8.020306362289944,True,,0.0
precip_RollMean_15d,yeo-johnson,-0.6537534100099319,2.3520835226979644,0.35002059214250825,2.0020629305554563,4.796672267440593,-1.294950481838822,3.501721785601771,True,,
Price_RollMean_30d,log,,2.3117320136992996,0.04437223451218843,2.267359779187111,8.18116266140895,-0.32784797918930675,7.853314682219643,True,,0.0
Price_EMA_30d,log,,2.308836963146453,0.05120525746816773,2.2576317056782855,8.037162825834459,-0.32391706445088264,7.713245761383576,True,,0.0
Price_Lag_14d,log,,2.289494365468088,0.014809242279101142,2.274685123188987,7.957644638653301,-0.3493751476477458,7.608269491005555,True,,0.0
Low_Light_Day,none,,2.2348815303857443,2.2348815303857443,0.0,2.9946954548593228,2.9946954548593228,0.0,False,No improvement,
Price_Lag_7d,log,,2.2325389515642935,0.0040893428399592915,2.2284496087243344,7.505877145297266,-0.3349566537367643,7.170920491560501,True,,0.0
BB_Upper,log,,2.2314049759797516,-0.0675015356896351,2.1639034402901167,9.11602698778287,-0.2812747660640853,8.834752221718785,True,,0.0
Price_RollMean_7d,log,,2.1822171235322765,0.029352925166200566,2.152864198366076,6.842692321035708,-0.3298575357205489,6.5128347853151585,True,,0.0
Price_EMA_7d,log,,2.1813580732774973,0.031894112921860805,2.1494639603556367,6.84462334726773,-0.3316122639765675,6.513011083291162,True,,0.0
Price_Lag_1d,log,,2.166879580941008,0.007416787130045576,2.1594627938109623,6.715550331933301,-0.347252280319585,6.368298051613715,True,,0.0
Price_Lag_3d,log,,2.162473522001751,0.0021063089301050953,2.160367213071646,6.700389288471722,-0.34757929600472925,6.352809992466993,True,,0.0
Max_Price,log,,2.048353512206032,0.04645870402023384,2.001894808185798,5.753339813193675,-0.32892485514831993,5.424414958045355,True,,0.0
Price_GDD_Interaction,log,,1.847525217324496,0.006191310611679246,1.8413339067128167,4.554616508453637,-0.39108123233745173,4.1635352761161855,True,,0.0
Heavy_Rain_Count_30d,sqrt,,1.8010179526883996,1.1231687708952613,0.6778491817931382,2.2184009799356588,-0.2378975731448656,1.9805034067907932,True,,0.0
Consecutive_Dry_Days,sqrt,,1.7930866625169348,0.9959293348316204,0.7971573276853144,2.168236410617056,-0.16800916062280358,2.0002272499942526,True,,0.0
IsWeekend,none,,1.771273437727372,1.771273437727372,0.0,1.1374095911985442,1.1374095911985442,0.0,False,No improvement,
precip_RollMean_30d,sqrt,,1.7259333522811042,0.988155433783915,0.7377779184971892,1.8485652280652722,-0.19934684069049657,1.6492183873747757,True,,0.0
Low_Light_Count_30d,sqrt,,1.696214518452074,0.5721321778442896,1.1240823406077844,2.1056668960008755,-0.7060120980697118,1.3996547979311638,True,,0.0
Price_Range_Pct,sqrt,,1.142881488069322,-0.09826363976119501,1.044617848308127,6.226204332181432,-0.6292370520146502,5.596967280166782,True,,0.0
Is_Dry_Day,yeo-johnson,5.116436794529233,-1.1406620081784231,-1.1406620081784238,-6.661338147750939e-16,-0.6988901830983685,-0.6988901830983663,2.220446049250313e-15,True,,
wind_spd_RollMean_90d,log,,1.1220839915917462,1.0432366268845308,0.07884736470721543,-0.428453247966019,-0.5761874894447305,-0.1477342414787115,True,,0.0
rh_RollMean_30d,log,,1.0559219997659373,0.9947080940369796,0.061213905728957685,-0.288627362769867,-0.39057608492646434,-0.10194872215659734,True,,0.0
rh_RollMean_15d,sqrt,,0.9519654235886079,0.8528461289188694,0.09911929466973857,-0.36398007779600405,-0.4957098697448541,-0.13172979194885004,True,,0.0
precip_RollMean_90d,sqrt,,0.9170772256589533,0.30486552639510467,0.6122116992638487,-0.6090575896280774,-1.2106810719834147,-0.6016234823553372,True,,0.0
wind_spd,sqrt,,0.8489495303427352,0.4603843137201468,0.3885652166225884,0.14728550512356442,-0.5336688571027723,-0.3863833519792079,True,,0.0
MACD_Signal,none,,-0.7984925207563405,-0.7984925207563405,0.0,46.53693097890099,46.53693097890099,0.0,False,No improvement,
wind_spd_Anomaly_30d,sqrt,,0.6880328282016269,0.19112337810256969,0.49690945009905724,1.1957542260610365,0.5328456392854894,0.6629085867755471,True,,2.8899999999999997
rh_RollMean_90d,sqrt,,0.5517277245229648,0.49390279324266734,0.057824931280297476,-1.213097341991619,-1.26971222794174,-0.05661488595012121,True,,0.0
rh_RollMean_7d,sqrt,,0.5129972574415634,0.35908459446288427,0.15391266297867917,-0.7327077154738149,-0.835167551364925,-0.10245983589111018,True,,0.0
Price_Change_1d,yeo-johnson,0.9975621576328756,0.4175958220526437,0.23793806766440875,0.17965775438823492,19.48854286881244,19.103409304502623,0.38513356430981815,True,,
Price_Change_7d,yeo-johnson,0.9953312971826481,0.37339845249512366,-0.024263986921809654,0.349134465573314,25.77875766387019,26.1011368777724,-0.32237921390220947,True,,
