Feature,Skewness_Before,Kurtosis_Before,Abs_Skewness_Before,Abs_Kurtosis_Before,Skewness_After,Kurtosis_After,Abs_Skewness_After,Abs_Kurtosis_After,Skew_Improvement,Kurt_Improvement,Overall_Improvement
Price_Seasonal_Deviation,-2.4316746255727164,32.78758535341571,2.4316746255727164,32.78758535341571,-0.0413682247113073,21.871156461884436,0.0413682247113073,21.871156461884436,2.390306400861409,10.916428891531272,13.30673529239268
BB_Lower,2.42191689569995,8.591740580528626,2.42191689569995,8.591740580528626,1.484355700695317,9.205837534699832,1.484355700695317,9.205837534699832,0.9375611950046332,-0.614096954171206,0.3234642408334272
Min_Price,2.3926784931957634,8.371270951162094,2.3926784931957634,8.371270951162094,-0.09787705162249104,-0.35096458887215043,0.09787705162249104,0.35096458887215043,2.2948014415732723,8.020306362289944,10.315107803863215
precip_RollMean_15d,2.3520835226979644,4.796672267440593,2.3520835226979644,4.796672267440593,0.35002059214250825,-1.294950481838822,0.35002059214250825,1.294950481838822,2.0020629305554563,3.501721785601771,5.503784716157227
Price_RollMean_30d,2.3117320136992996,8.18116266140895,2.3117320136992996,8.18116266140895,0.04437223451218843,-0.32784797918930675,0.04437223451218843,0.32784797918930675,2.267359779187111,7.853314682219643,10.120674461406754
Price_EMA_30d,2.308836963146453,8.037162825834459,2.308836963146453,8.037162825834459,0.05120525746816773,-0.32391706445088264,0.05120525746816773,0.32391706445088264,2.2576317056782855,7.713245761383576,9.970877467061861
Price_Lag_14d,2.289494365468088,7.957644638653301,2.289494365468088,7.957644638653301,0.014809242279101142,-0.3493751476477458,0.014809242279101142,0.3493751476477458,2.274685123188987,7.608269491005555,9.882954614194542
Low_Light_Day,2.2348815303857443,2.9946954548593228,2.2348815303857443,2.9946954548593228,2.2348815303857443,2.9946954548593228,2.2348815303857443,2.9946954548593228,0.0,0.0,0.0
Price_Lag_7d,2.2325389515642935,7.505877145297266,2.2325389515642935,7.505877145297266,0.0040893428399592915,-0.3349566537367643,0.0040893428399592915,0.3349566537367643,2.2284496087243344,7.170920491560501,9.399370100284836
BB_Upper,2.2314049759797516,9.11602698778287,2.2314049759797516,9.11602698778287,-0.0675015356896351,-0.2812747660640853,0.0675015356896351,0.2812747660640853,2.1639034402901167,8.834752221718785,10.998655662008902
Price_RollMean_7d,2.1822171235322765,6.842692321035708,2.1822171235322765,6.842692321035708,0.029352925166200566,-0.3298575357205489,0.029352925166200566,0.3298575357205489,2.152864198366076,6.5128347853151585,8.665698983681235
Price_EMA_7d,2.1813580732774973,6.84462334726773,2.1813580732774973,6.84462334726773,0.031894112921860805,-0.3316122639765675,0.031894112921860805,0.3316122639765675,2.1494639603556367,6.513011083291162,8.662475043646799
Price_Lag_1d,2.166879580941008,6.715550331933301,2.166879580941008,6.715550331933301,0.007416787130045576,-0.347252280319585,0.007416787130045576,0.347252280319585,2.1594627938109623,6.368298051613715,8.527760845424677
Price_Lag_3d,2.162473522001751,6.700389288471722,2.162473522001751,6.700389288471722,0.0021063089301050953,-0.34757929600472925,0.0021063089301050953,0.34757929600472925,2.160367213071646,6.352809992466993,8.51317720553864
Max_Price,2.048353512206032,5.753339813193675,2.048353512206032,5.753339813193675,0.04645870402023384,-0.32892485514831993,0.04645870402023384,0.32892485514831993,2.001894808185798,5.424414958045355,7.426309766231153
Price_GDD_Interaction,1.847525217324496,4.554616508453637,1.847525217324496,4.554616508453637,0.006191310611679246,-0.39108123233745173,0.006191310611679246,0.39108123233745173,1.8413339067128167,4.1635352761161855,6.004869182829002
Heavy_Rain_Count_30d,1.8010179526883996,2.2184009799356588,1.8010179526883996,2.2184009799356588,1.1231687708952613,-0.2378975731448656,1.1231687708952613,0.2378975731448656,0.6778491817931382,1.9805034067907932,2.6583525885839316
Consecutive_Dry_Days,1.7930866625169348,2.168236410617056,1.7930866625169348,2.168236410617056,0.9959293348316204,-0.16800916062280358,0.9959293348316204,0.16800916062280358,0.7971573276853144,2.0002272499942526,2.797384577679567
IsWeekend,1.771273437727372,1.1374095911985442,1.771273437727372,1.1374095911985442,1.771273437727372,1.1374095911985442,1.771273437727372,1.1374095911985442,0.0,0.0,0.0
precip_RollMean_30d,1.7259333522811042,1.8485652280652722,1.7259333522811042,1.8485652280652722,0.988155433783915,-0.19934684069049657,0.988155433783915,0.19934684069049657,0.7377779184971892,1.6492183873747757,2.386996305871965
Low_Light_Count_30d,1.696214518452074,2.1056668960008755,1.696214518452074,2.1056668960008755,0.5721321778442896,-0.7060120980697118,0.5721321778442896,0.7060120980697118,1.1240823406077844,1.3996547979311638,2.523737138538948
Price_Range_Pct,1.142881488069322,6.226204332181432,1.142881488069322,6.226204332181432,-0.09826363976119501,-0.6292370520146502,0.09826363976119501,0.6292370520146502,1.044617848308127,5.596967280166782,6.641585128474908
Is_Dry_Day,-1.1406620081784231,-0.6988901830983685,1.1406620081784231,0.6988901830983685,-1.1406620081784238,-0.6988901830983663,1.1406620081784238,0.6988901830983663,-6.661338147750939e-16,2.220446049250313e-15,1.5543122344752192e-15
wind_spd_RollMean_90d,1.1220839915917462,-0.428453247966019,1.1220839915917462,0.428453247966019,1.0432366268845308,-0.5761874894447305,1.0432366268845308,0.5761874894447305,0.07884736470721543,-0.1477342414787115,-0.06888687677149608
rh_RollMean_30d,1.0559219997659373,-0.288627362769867,1.0559219997659373,0.288627362769867,0.9947080940369796,-0.39057608492646434,0.9947080940369796,0.39057608492646434,0.061213905728957685,-0.10194872215659734,-0.04073481642763965
rh_RollMean_15d,0.9519654235886079,-0.36398007779600405,0.9519654235886079,0.36398007779600405,0.8528461289188694,-0.4957098697448541,0.8528461289188694,0.4957098697448541,0.09911929466973857,-0.13172979194885004,-0.03261049727911147
precip_RollMean_90d,0.9170772256589533,-0.6090575896280774,0.9170772256589533,0.6090575896280774,0.30486552639510467,-1.2106810719834147,0.30486552639510467,1.2106810719834147,0.6122116992638487,-0.6016234823553372,0.010588216908511416
wind_spd,0.8489495303427352,0.14728550512356442,0.8489495303427352,0.14728550512356442,0.4603843137201468,-0.5336688571027723,0.4603843137201468,0.5336688571027723,0.3885652166225884,-0.3863833519792079,0.0021818646433804934
MACD_Signal,-0.7984925207563405,46.53693097890099,0.7984925207563405,46.53693097890099,-0.7984925207563405,46.53693097890099,0.7984925207563405,46.53693097890099,0.0,0.0,0.0
wind_spd_Anomaly_30d,0.6880328282016269,1.1957542260610365,0.6880328282016269,1.1957542260610365,0.19112337810256969,0.5328456392854894,0.19112337810256969,0.5328456392854894,0.49690945009905724,0.6629085867755471,1.1598180368746043
rh_RollMean_90d,0.5517277245229648,-1.213097341991619,0.5517277245229648,1.213097341991619,0.49390279324266734,-1.26971222794174,0.49390279324266734,1.26971222794174,0.057824931280297476,-0.05661488595012121,0.0012100453301762681
rh_RollMean_7d,0.5129972574415634,-0.7327077154738149,0.5129972574415634,0.7327077154738149,0.35908459446288427,-0.835167551364925,0.35908459446288427,0.835167551364925,0.15391266297867917,-0.10245983589111018,0.051452827087568986
GDD_Daily,-0.46956822124979275,-0.09509703553003357,0.46956822124979275,0.09509703553003357,-0.46956822124979275,-0.09509703553003357,0.46956822124979275,0.09509703553003357,0.0,0.0,0.0
temp,-0.46956822124979275,-0.09509703553003357,0.46956822124979275,0.09509703553003357,-0.46956822124979275,-0.09509703553003357,0.46956822124979275,0.09509703553003357,0.0,0.0,0.0
GDD_Cumulative_90d,0.4449746985234657,-0.5618127922708305,0.4449746985234657,0.5618127922708305,0.4449746985234657,-0.5618127922708305,0.4449746985234657,0.5618127922708305,0.0,0.0,0.0
temp_RollMean_90d,0.4442055086278713,-0.5708830650080223,0.4442055086278713,0.5708830650080223,0.4442055086278713,-0.5708830650080223,0.4442055086278713,0.5708830650080223,0.0,0.0,0.0
GDD_Cumulative_60d,0.4320267301839017,0.08967154712896086,0.4320267301839017,0.08967154712896086,0.4320267301839017,0.08967154712896086,0.4320267301839017,0.08967154712896086,0.0,0.0,0.0
solar_rad_Anomaly_30d,-0.4304723053907798,-0.07151601448424882,0.4304723053907798,0.07151601448424882,-0.4304723053907798,-0.07151601448424882,0.4304723053907798,0.07151601448424882,0.0,0.0,0.0
Price_Change_1d,0.4175958220526437,19.48854286881244,0.4175958220526437,19.48854286881244,0.23793806766440875,19.103409304502623,0.23793806766440875,19.103409304502623,0.17965775438823492,0.38513356430981815,0.5647913186980531
solar_rad,-0.4142045266700411,-0.9034473134216392,0.4142045266700411,0.9034473134216392,-0.4142045266700411,-0.9034473134216392,0.4142045266700411,0.9034473134216392,0.0,0.0,0.0
Price_Change_7d,0.37339845249512366,25.77875766387019,0.37339845249512366,25.77875766387019,-0.024263986921809654,26.1011368777724,0.024263986921809654,26.1011368777724,0.349134465573314,-0.32237921390220947,0.02675525167110454
wind_spd_RollMean_7d,0.35935587121014556,-1.1116252744681607,0.35935587121014556,1.1116252744681607,0.35935587121014556,-1.1116252744681607,0.35935587121014556,1.1116252744681607,0.0,0.0,0.0
wind_spd_RollMean_30d,0.3585301003412714,-1.3897031033538054,0.3585301003412714,1.3897031033538054,0.3585301003412714,-1.3897031033538054,0.3585301003412714,1.3897031033538054,0.0,0.0,0.0
Heat_Index_Proxy,-0.3511064234332002,-1.0503718811301055,0.3511064234332002,1.0503718811301055,-0.3511064234332002,-1.0503718811301055,0.3511064234332002,1.0503718811301055,0.0,0.0,0.0
VPD_RollMean_30d,0.33366146785377276,0.4713805787904328,0.33366146785377276,0.4713805787904328,0.33366146785377276,0.4713805787904328,0.33366146785377276,0.4713805787904328,0.0,0.0,0.0
Price_Acceleration,0.3284405258074686,16.728367810563096,0.3284405258074686,16.728367810563096,0.02149647153442561,16.516661949827792,0.02149647153442561,16.516661949827792,0.30694405427304294,0.21170586073530373,0.5186499150083467
Month_Cos,0.3236448701801038,-1.3970179348516598,0.3236448701801038,1.3970179348516598,0.3236448701801038,-1.3970179348516598,0.3236448701801038,1.3970179348516598,0.0,0.0,0.0
DayOfYear_Cos,0.31796477889334884,-1.3470939119323078,0.31796477889334884,1.3470939119323078,0.31796477889334884,-1.3470939119323078,0.31796477889334884,1.3470939119323078,0.0,0.0,0.0
wind_spd_RollMean_15d,0.2887823884965331,-1.3775829439089566,0.2887823884965331,1.3775829439089566,0.2887823884965331,-1.3775829439089566,0.2887823884965331,1.3775829439089566,0.0,0.0,0.0
solar_rad_RollMean_7d,-0.2682019125362053,-0.35445529143716925,0.2682019125362053,0.35445529143716925,-0.2682019125362053,-0.35445529143716925,0.2682019125362053,0.35445529143716925,0.0,0.0,0.0
Month_Sin,0.26497611136480465,-1.3152811314202748,0.26497611136480465,1.3152811314202748,0.26497611136480465,-1.3152811314202748,0.26497611136480465,1.3152811314202748,0.0,0.0,0.0
MACD,0.2263494363562481,35.91970044961582,0.2263494363562481,35.91970044961582,0.2263494363562481,35.91970044961582,0.2263494363562481,35.91970044961582,0.0,0.0,0.0
solar_rad_RollMean_15d,-0.1830073385537437,-0.043006417855337986,0.1830073385537437,0.043006417855337986,-0.1830073385537437,-0.043006417855337986,0.1830073385537437,0.043006417855337986,0.0,0.0,0.0
rh,-0.17598417787368806,-0.8706935249585337,0.17598417787368806,0.8706935249585337,-0.17598417787368806,-0.8706935249585337,0.17598417787368806,0.8706935249585337,0.0,0.0,0.0
DayOfYear_Sin,0.14865344283780454,-1.4983660839328021,0.14865344283780454,1.4983660839328021,0.14865344283780454,-1.4983660839328021,0.14865344283780454,1.4983660839328021,0.0,0.0,0.0
GDD_Cumulative_30d,0.14173805969516312,0.3302881417589556,0.14173805969516312,0.3302881417589556,0.14173805969516312,0.3302881417589556,0.14173805969516312,0.3302881417589556,0.0,0.0,0.0
temp_RollMean_7d,-0.1400201247386512,-0.397434250122227,0.1400201247386512,0.397434250122227,-0.1400201247386512,-0.397434250122227,0.1400201247386512,0.397434250122227,0.0,0.0,0.0
temp_RollMean_30d,0.137220531696882,0.3420338760300079,0.137220531696882,0.3420338760300079,0.137220531696882,0.3420338760300079,0.137220531696882,0.3420338760300079,0.0,0.0,0.0
BB_PctB,0.13118337535904637,0.2679075091136802,0.13118337535904637,0.2679075091136802,0.13118337535904637,0.2679075091136802,0.13118337535904637,0.2679075091136802,0.0,0.0,0.0
temp_Anomaly_30d,-0.12633174385142543,1.1187781686551848,0.12633174385142543,1.1187781686551848,-0.12633174385142543,1.1187781686551848,0.12633174385142543,1.1187781686551848,0.0,0.0,0.0
solar_rad_RollMean_30d,-0.07092113321528262,0.043083278806959946,0.07092113321528262,0.043083278806959946,-0.07092113321528262,0.043083278806959946,0.07092113321528262,0.043083278806959946,0.0,0.0,0.0
rh_Anomaly_30d,0.0441438429622195,-0.2752933617865958,0.0441438429622195,0.2752933617865958,0.0441438429622195,-0.2752933617865958,0.0441438429622195,0.2752933617865958,0.0,0.0,0.0
DayOfWeek,0.041564103607244794,-1.17331494356191,0.041564103607244794,1.17331494356191,0.041564103607244794,-1.17331494356191,0.041564103607244794,1.17331494356191,0.0,0.0,0.0
temp_RollMean_15d,0.039791645654899455,0.43940803447497556,0.039791645654899455,0.43940803447497556,0.039791645654899455,0.43940803447497556,0.039791645654899455,0.43940803447497556,0.0,0.0,0.0
Price_RSI_14d,0.038385733460989745,2.236953799693927,0.038385733460989745,2.236953799693927,0.038385733460989745,2.236953799693927,0.038385733460989745,2.236953799693927,0.0,0.0,0.0
solar_rad_RollMean_90d,-0.029626250909030028,-0.7364971819264445,0.029626250909030028,0.7364971819264445,-0.029626250909030028,-0.7364971819264445,0.029626250909030028,0.7364971819264445,0.0,0.0,0.0
DayOfYear,0.022095358680244957,-1.112161804411759,0.022095358680244957,1.112161804411759,0.022095358680244957,-1.112161804411759,0.022095358680244957,1.112161804411759,0.0,0.0,0.0
Month,-0.01479282406030056,-1.093180886575379,0.01479282406030056,1.093180886575379,-0.01479282406030056,-1.093180886575379,0.01479282406030056,1.093180886575379,0.0,0.0,0.0
VPD,-0.008665024674139746,-0.3845080640343923,0.008665024674139746,0.3845080640343923,-0.008665024674139746,-0.3845080640343923,0.008665024674139746,0.3845080640343923,0.0,0.0,0.0
WeekOfYear,0.005157552941652107,-1.0812422228465823,0.005157552941652107,1.0812422228465823,0.005157552941652107,-1.0812422228465823,0.005157552941652107,1.0812422228465823,0.0,0.0,0.0
