,clouds,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_uv,max_wind_dir,max_wind_spd,min_temp,precip,precip_gpm,pres,rh,slp,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
max_wind_dir,0.29283844295793166,0.37733284260047767,0.6851529176081363,0.6775985510380491,0.6935810524816688,0.7016177030896766,0.612615007108268,0.7048088216964993,0.2577582787639493,0.1735293886466123,1.0,0.2023472608865614,0.5212430789121075,0.1605007263860215,0.1605007263860215,-0.5035742793379092,0.168449400422341,-0.5085979576968906,0.08648739762423248,0.6879823220395175,0.6775382865544095,0.6932326670897876,0.08654312271174171,0.46652548995398035,-0.23921531157763948,1.0,0.17593736440467642,0.15416999399691125
max_wind_spd,0.3941945806279151,0.35458277505992053,0.5095932764177936,0.5170914291585516,0.49417615143900406,0.3155250112893254,0.05550637940335682,0.4254981624565658,-0.12531133066517836,-0.09687794379002711,0.2023472608865614,1.0,0.3811212735998686,0.2287797694413264,0.2287797694413264,-0.5858852175175039,0.304589606412884,-0.5871228757144439,-0.20755073933220008,0.5122766004741585,0.5172181931235409,0.4944305589231987,-0.20755529075868465,0.1607277592721804,-0.03574571912615675,0.20234726088656144,0.9483665247250771,0.9501452134316924
min_temp,0.4097677221298562,0.8028822532719266,0.8344740069128339,0.8419939008181716,0.8472602609213327,0.7533169617921793,0.49581844037273654,0.828682323802524,0.4930017603172713,0.14745282838985793,0.5212430789121075,0.3811212735998686,1.0,0.2200449156025147,0.2200449156025147,-0.7917686678828747,0.36208765309142876,-0.7976608918750456,0.06980149531096239,0.8392932093084695,0.841757492717751,0.8472848123552053,0.07004021388575168,0.871043553906413,0.10657332003470195,0.5212430789121074,0.36007070036928723,0.3631263055037067
precip,0.5396273121737089,0.39362471398528665,0.2609460891583435,0.2500171900642798,0.27212540669933577,0.20191924490081928,0.0599138203089774,0.26135839131023675,-0.34642371859813165,-0.4326604734125754,0.1605007263860215,0.2287797694413264,0.2200449156025147,1.0,1.0,-0.45628303255081,0.5294809100018552,-0.4533716400593888,-0.5823794233444437,0.25551572668472466,0.24950759878848286,0.2719984736602542,-0.5822020856948439,-0.05301268445880727,0.15305110021314286,0.1605007263860215,0.23496250307757346,0.26850476742483415
precip_gpm,0.5396273121737089,0.39362471398528665,0.2609460891583435,0.2500171900642798,0.27212540669933577,0.20191924490081928,0.0599138203089774,0.26135839131023675,-0.34642371859813165,-0.4326604734125754,0.1605007263860215,0.2287797694413264,0.2200449156025147,1.0,1.0,-0.45628303255081,0.5294809100018552,-0.4533716400593888,-0.5823794233444437,0.25551572668472466,0.24950759878848286,0.2719984736602542,-0.5822020856948439,-0.05301268445880727,0.15305110021314286,0.1605007263860215,0.23496250307757346,0.26850476742483415
pres,-0.6563359716549196,-0.7743928330745123,-0.8088612558652849,-0.8127265668778582,-0.8149361891898179,-0.6411320827532221,-0.3009700369011975,-0.7652548789232169,-0.09316776644658141,0.17962463657773772,-0.5035742793379092,-0.5858852175175039,-0.7917686678828747,-0.45628303255081,-0.45628303255081,1.0,-0.5718461075040628,0.997575141368582,0.3064819008255121,-0.8112482243258778,-0.8126822391881419,-0.8149054292015525,0.30625216814064504,-0.5292331073666925,-0.1515683564254486,-0.5035742793379094,-0.552428374922009,-0.592150119849169
rh,0.7531962267871763,0.8229473213007136,0.24564107586095124,0.23588514732444382,0.27695297373852173,0.12818454453384406,-0.12797513090012352,0.2482775846124862,-0.5301366053673857,-0.6210444515114292,0.168449400422341,0.304589606412884,0.36208765309142876,0.5294809100018552,0.5294809100018552,-0.5718461075040628,1.0,-0.5693584585149057,-0.6641683885429469,0.24604618691550992,0.23590804095806955,0.2770032921254607,-0.6640647648926016,-0.09250022617740526,0.3672614541603828,0.16844940042234102,0.26114848391951917,0.3790010550068532
slp,-0.6472323477740249,-0.7777221932797055,-0.8151139496869462,-0.8189533721018248,-0.8214867797353252,-0.6500635947731683,-0.3114502249919026,-0.7727327941469282,-0.10369835917307296,0.16566484155631694,-0.5085979576968906,-0.5871228757144439,-0.7976608918750456,-0.4533716400593888,-0.4533716400593888,0.997575141368582,-0.5693584585149057,1.0,0.29477604933680535,-0.8174982393072406,-0.8189066257014119,-0.8214303854325176,0.2945463589521768,-0.5386733025593567,-0.14969658842392858,-0.5085979576968896,-0.5517734164624216,-0.5906229075701096
solar_rad,-0.7776136834083252,-0.3109815488470754,0.05254871634515827,0.06580544273877129,0.03768155799957982,0.15021608815541054,0.2991353796126016,0.06353480340272673,0.7179128255143993,0.9231295488994502,0.08648739762423248,-0.20755073933220008,0.06980149531096239,-0.5823794233444437,-0.5823794233444437,0.3064819008255121,-0.6641683885429469,0.29477604933680535,1.0,0.05679949531337873,0.06550959152881507,0.037839527697742265,0.9999953545053993,0.4410890603794922,-0.30732891881563495,0.0864873976242324,-0.19774543597010671,-0.27056992068829067
t_dhi,0.42081714755730004,0.6103664755154661,0.9982799913771613,0.9990721354226791,0.9977004081632034,0.9292108700478122,0.70501408605018,0.9816530382053291,0.4242689669001217,0.20879639816052217,0.6879823220395175,0.5122766004741585,0.8392932093084695,0.25551572668472466,0.25551572668472466,-0.8112482243258778,0.24604618691550992,-0.8174982393072406,0.05679949531337873,1.0,0.9990973442653803,0.9977230198194782,0.056986952649491815,0.754668043924962,-0.19604843193083674,0.6879823220395175,0.47850360826430344,0.4648303376813641
t_dni,0.41118051907618564,0.607157369735262,0.9969288111959489,0.9999650083425196,0.9949084179756869,0.9197043249711009,0.6899843401817677,0.974989568144904,0.43522509234391865,0.21644690845954082,0.6775382865544095,0.5172181931235409,0.841757492717751,0.24950759878848286,0.24950759878848286,-0.8126822391881419,0.23590804095806955,-0.8189066257014119,0.06550959152881507,0.9990973442653803,1.0,0.9949394942453531,0.06571018030970503,0.7619642690650341,-0.19264822432041787,0.6775382865544098,0.4834396196547846,0.470463496181084
t_ghi,0.44260661279279073,0.6340904758215745,0.9966332866896158,0.9949447618312344,0.9999868677074356,0.9406688044798711,0.7213150072608958,0.989924456622275,0.40996935778381766,0.18874350135786266,0.6932326670897876,0.4944305589231987,0.8472848123552053,0.2719984736602542,0.2719984736602542,-0.8149054292015525,0.2770032921254607,-0.8214303854325176,0.037839527697742265,0.9977230198194782,0.9949394942453531,1.0,0.03802768738947849,0.7514847384439146,-0.18101992316340249,0.6932326670897876,0.4617218368333689,0.4477641087706669
t_solar_rad,-0.777404002427155,-0.3107345999513601,0.05272191470213662,0.06600559021403724,0.03786505631126703,0.1503378876876022,0.29917371961753975,0.06369946617079705,0.7181108433060711,0.9230776380990502,0.08654312271174171,-0.20755529075868465,0.07004021388575168,-0.5822020856948439,-0.5822020856948439,0.30625216814064504,-0.6640647648926016,0.2945463589521768,0.9999953545053993,0.056986952649491815,0.06571018030970503,0.03802768738947849,1.0,0.4413340256756434,-0.30736860376346214,0.08654312271174179,-0.19772742475972935,-0.2705591655881675
temp,0.022122124710763514,0.47763373262694303,0.7497841982068824,0.7622207201175725,0.7514850909938341,0.7480774413442823,0.6245486201142971,0.7555666925924712,0.8504221202452913,0.497134520564588,0.46652548995398035,0.1607277592721804,0.871043553906413,-0.05301268445880727,-0.05301268445880727,-0.5292331073666925,-0.09250022617740526,-0.5386733025593567,0.4410890603794922,0.754668043924962,0.7619642690650341,0.7514847384439146,0.4413340256756434,1.0,-0.07928402310989963,0.4665254899539803,0.15416762450217325,0.09908239978934429
ts,0.2209908330344148,0.2924977041667086,-0.20246760440284292,-0.19242707775103615,-0.1810629949108959,-0.2977643674820135,-0.4478622358772024,-0.1969713446746433,-0.2388777869849373,-0.35741588565074517,-0.23921531157763948,-0.03574571912615675,0.10657332003470195,0.15305110021314286,0.15305110021314286,-0.1515683564254486,0.3672614541603828,-0.14969658842392858,-0.30732891881563495,-0.19604843193083674,-0.19264822432041787,-0.18101992316340249,-0.30736860376346214,-0.07928402310989963,1.0,-0.23921531157763948,0.001607787705682656,0.04069083321977793
wind_dir,0.29283844295793166,0.37733284260047767,0.6851529176081363,0.6775985510380491,0.6935810524816688,0.7016177030896766,0.612615007108268,0.7048088216964993,0.2577582787639493,0.1735293886466123,1.0,0.20234726088656144,0.5212430789121074,0.1605007263860215,0.1605007263860215,-0.5035742793379094,0.16844940042234102,-0.5085979576968896,0.0864873976242324,0.6879823220395175,0.6775382865544098,0.6932326670897876,0.08654312271174179,0.4665254899539803,-0.23921531157763948,1.0,0.17593736440467642,0.15416999399691125
wind_gust_spd,0.3716812396309611,0.3106759933068064,0.4775531602113347,0.4831593098393763,0.4615531715023679,0.30031121612155964,0.06154354891687439,0.4004964509325345,-0.1208980407627086,-0.09182280820586133,0.17593736440467642,0.9483665247250771,0.36007070036928723,0.23496250307757346,0.23496250307757346,-0.552428374922009,0.26114848391951917,-0.5517734164624216,-0.19774543597010671,0.47850360826430344,0.4834396196547846,0.4617218368333689,-0.19772742475972935,0.15416762450217325,0.001607787705682656,0.17593736440467642,1.0,0.9313807681643461
wind_spd,0.4203290663503226,0.389102945533584,0.4631436368235429,0.47026917663211865,0.44745856741646767,0.24725448238701414,-0.036449755827023186,0.37195012710581515,-0.21507663424972892,-0.16871460171269098,0.15416999399691125,0.9501452134316924,0.3631263055037067,0.26850476742483415,0.26850476742483415,-0.592150119849169,0.3790010550068532,-0.5906229075701096,-0.27056992068829067,0.4648303376813641,0.470463496181084,0.4477641087706669,-0.2705591655881675,0.09908239978934429,0.04069083321977793,0.15416999399691125,0.9313807681643461,1.0
